Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsbckganvdi15,Powered On,Normal,31.8  GB,31.8  GB,529,1109,53,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBCKGANVDI15.adcfs.capita.co.uk,
cfsbckganvdi16,Powered On,Normal,31.8  GB,31.8  GB,322,1114,21,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBCKGANVDI16.adcfs.capita.co.uk,
cfsbckganvdi17,Powered On,Normal,31.8  GB,31.8  GB,161,1118,19,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),CFSBCKGANVDI17.adcfs.capita.co.uk,
cfsbckganvdi18,Powered On,Normal,31.8  GB,31.8  GB,184,1113,29,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfsbckganvdi18.adcfs.capita.co.uk,
cfsbckganvdi19,Powered On,Normal,31.8  GB,31.8  GB,322,1113,25,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfsbckganvdi19.adcfs.capita.co.uk,
cfsbckganvdi20,Powered On,Normal,31.8  GB,31.8  GB,322,1106,18,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfsbckganvdi20.adcfs.capita.co.uk,
cfsbckganvdi21,Powered On,Normal,31.8  GB,31.8  GB,322,1105,25,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows XP Professional (32-bit),cfsbckganvdi21.adcfs.capita.co.uk,
CFSBCKGDMAPP01,Powered On,Normal,31.11  GB,31.11  GB,46,1045,11,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),cfsbckgdmapp01.adcfs.capita.co.uk,
cfsbckgspapp01,Powered On,Normal,52.11  GB,25.14  GB,23,2073,5,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),cfsbckgspapp01.GSPLVE.CAPITA.CO.UK,
cfsbckgspsop01,Powered On,Normal,53.69  GB,53.69  GB,437,2104,5,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKGSPSOP01.GSPLVE.CAPITA.CO.UK,
cfsbckgspsop02,Powered On,Normal,53.69  GB,53.69  GB,851,2439,5,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspsop02.GSPLVE.CAPITA.CO.UK,
cfsbckgspweb01,Powered On,Normal,53.62  GB,53.62  GB,368,3571,22,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKGSPWEB01.GSPLVE.CAPITA.CO.UK,
cfsbckgspweb02,Powered On,Normal,71.93  GB,71.93  GB,138,3629,11,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb02.GSPLVE.CAPITA.CO.UK,Standard Life
cfsbckgspweb03,Powered On,Normal,71.95  GB,71.95  GB,115,3629,9,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb03.GSPLVE.CAPITA.CO.UK,Standard Life
